DateTime,Open,High,Low,Close,Adj Close,Volume,,,
02/05/2022 09:30,865,865.0499878,864.6599731,864.6599731,864.6599731,1331074,,,
02/05/2022 09:31,862.3629761,865.9699707,858.7600098,861.2849731,861.2849731,142434,,,
02/05/2022 09:32,860.9099731,864,856.2800293,863.8768921,863.8768921,135657,,,
02/05/2022 09:33,864,864.1445923,857.8400269,857.9608154,857.9608154,146729,,,
02/05/2022 09:34,857.7000122,859.8905029,855.2700195,856.7000122,856.7000122,138408,,,
02/05/2022 09:35,857.4099731,858.789978,854.2210083,855.7600098,855.7600098,137734,,,
02/05/2022 09:36,855.1500244,856.2800293,851.3400269,851.6101074,851.6101074,132602,,,
02/05/2022 09:37,851.4000244,854.789978,850.539978,853.2349854,853.2349854,158821,,,
02/05/2022 09:38,852.9000244,853.5098877,848.0300293,851.3599854,851.3599854,219628,,,
02/05/2022 09:39,851.067688,858.3364258,851.067688,856.3499756,856.3499756,169394,,,
02/05/2022 09:40,856.1300049,858.210022,854.1799927,855.6572266,855.6572266,126993,,,
02/05/2022 09:41,855.8041992,866.9000244,855.8041992,866.2199707,866.2199707,176013,,,
02/05/2022 09:42,866.2728882,878.039978,865.8850098,877.5198975,877.5198975,241663,,,
02/05/2022 09:43,877.2703857,881.1599731,874.1500244,880.1066284,880.1066284,204276,,,
02/05/2022 09:44,879.7399902,883.289978,876,881.0684814,881.0684814,196587,,,
02/05/2022 09:45,880.9699707,880.9699707,872,873.1699829,873.1699829,173463,,,
02/05/2022 09:46,873.0150146,877.1596069,872.4000244,873.5800171,873.5800171,119503,,,
02/05/2022 09:47,874.9729004,875.9899292,866.9500122,869.7299805,869.7299805,145212,,,
02/05/2022 09:48,868.6749878,877.5700073,868.1900024,872.3800049,872.3800049,139164,,,
02/05/2022 09:49,872.5800171,874.869873,863,865.1900024,865.1900024,165450,,,
02/05/2022 09:50,865,870.8499756,863.6641235,865.9000244,865.9000244,113813,,,
02/05/2022 09:51,865.6638794,870.3833008,865.4199829,867.7700195,867.7700195,79348,,,
02/05/2022 09:52,868.5999756,872.539978,867,871.6749878,871.6749878,84461,,,
